#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:10Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:20Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:30Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:40Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:50Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:11:00Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:11:10Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:10Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:20Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:30Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:40Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:50Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:00Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:10Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:20Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:30Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:40Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:50Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:14:00Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:14:10Z,34,humidity,dht_data,esp32
,,0,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:14:10.6458662Z,34,humidity,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:10Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:20Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:30Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:40Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:10:50Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:11:00Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:11:10Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:10Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:20Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:30Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:40Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:12:50Z,35.5,temperature,dht_data,esp32
,,1,2025-05-20T17:59:10.6458662Z,2025-05-20T18:14:10.6458662Z,2025-05-20T18:13:00Z,35.5,temperature,dht_data,esp32
